scorer,,,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew
bodyparts,,,Nose,Nose,Left_Ear,Left_Ear,Right_Ear,Right_Ear,Body_Center,Body_Center,Left_Body,Left_Body,Right_Body,Right_Body,Tail_Base,Tail_Base
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,f042814_Video,img0005.png,298.69126165070514,380.6967227775364,289.9517251894688,379.1297005223771,293.4651814407692,388.18989121573765,279.90121235885886,410.94018211874675,265.9639472424211,405.57269493963224,295.4727220945673,409.1620400936102,284.72481169050656,446.6940394725681
labeled-data,f042814_Video,img0015.png,282.39907470163763,410.8343649504923,275.7683292232521,414.95442836192905,289.2148955079865,417.13231447230527,282.2287498934779,423.79223720120865,273.19222688636546,423.72029064145,288.4901094907101,428.389524075246,283.60202965338397,430.60083027381097
labeled-data,f042814_Video,img0028.png,,,,,,,,,,,,,276.9900909903287,426.60871636404175
labeled-data,f042814_Video,img0038.png,286.99621312070815,264.9762594502671,283.0714986431056,270.2885086531615,290.9909424317072,271.0165316082223,288.55076141277647,325.84886796021124,276.8424029993888,325.4125029342028,301.31145905426774,325.8324420772719,293.582314427807,368.7230646723884
labeled-data,f042814_Video,img0040.png,287.9275496116123,217.01243016870387,282.9305350903294,223.07060349339372,293.29993289711797,223.53449805200904,287.3982367051676,266.7820893561997,276.0938816413071,267.02785223253426,298.7901449771616,266.3816406205893,290.3387218761195,319.94442283739573
labeled-data,f042814_Video,img0043.png,286.064876629804,174.94706532953356,282.9305350903294,182.27618947793968,294.21070845414283,181.43641550745386,288.5507592145142,223.85062588304018,278.3394457155523,223.23935278475335,300.00451238652806,224.99195141801528,289.0911862793166,273.2865915169683
labeled-data,f042814_Video,img0045.png,309.3482889024075,173.3948378446933,297.90096225196396,175.1652365761633,305.34240970666883,182.24599378036484,289.70328172386075,213.76605392625774,276.5928958800282,210.514489697364,301.7248662164639,215.78299856365282,290.83773611484065,252.70225416972087
labeled-data,f042814_Video,img0051.png,371.2821655475328,188.1409989506755,363.5213194150892,181.77717523921856,360.19135004957195,196.11002170396543,317.3638219481783,187.83429746596005,317.262556335802,175.5834929868835,320.3451664934165,200.80580051479967,285.84759372762915,211.53357947522588
labeled-data,f042814_Video,img0055.png,447.1860895562201,190.31411742945187,436.12790637772264,184.02273931346377,436.6964968396598,196.31241627219316,389.108348155002,188.98681997530662,393.6117348601381,175.95775366592432,390.37368710021644,200.70460323068573,343.3589847402417,191.32350280701934
labeled-data,f042814_Video,img0061.png,445.6351657709986,191.5181153270531,434.5061101018789,186.7673176264301,,,396.0234832110813,194.17317126736614,395.9820524940635,183.31821368706127,396.54672143116267,202.22256249239382,348.4738806871335,196.6879058732717
labeled-data,f042814_Video,img0064.png,,,,,,,389.108348155002,194.17317126736614,389.74437451004917,180.94789605313582,388.8557278385083,204.14531089055743,347.60060576937144,195.93938451518997
labeled-data,f042814_Video,img0067.png,,,427.76941787914336,185.76928914898778,,,396.0234832110813,189.5630812299799,400.47318064255387,176.70627502400603,393.5108029077465,200.502208662458,348.97289492585463,190.20072076989675
labeled-data,f042814_Video,img0069.png,438.7375912404167,194.04979957584405,429.0169534759462,186.6425640667498,427.99353040586675,201.16988590965906,396.8878750930913,189.85121185731654,399.10089148607074,179.9498675756935,397.25510241995977,201.71657607182448,349.8461698436166,190.20072076989675
labeled-data,f042814_Video,img0072.png,437.6510320010285,190.16923086374345,425.898114483939,185.27027491026664,428.29712225820833,200.76509677320357,394.87096070173476,189.85121185731654,394.7345168972607,180.57363537409495,396.64791871527655,201.71657607182448,349.5966627242561,190.20072076989675
labeled-data,f042814_Video,img0077.png,442.61815995251726,180.23497496076595,434.63086366155915,178.28407556817052,438.0120615331401,189.1274091001082,394.87096070173476,191.29186499399975,397.2295880908664,180.44888181441468,395.23115673768234,201.71657607182448,349.5966627242561,190.20072076989675
labeled-data,f042814_Video,img0082.png,457.20909831001546,193.89457682736003,449.2270301441528,187.39108542483152,448.73897364921066,201.4734777620007,397.7522669751012,193.8850406400295,400.3484270828736,180.94789605313582,397.5586942723014,203.0321407653048,356.957122745393,189.07793873277416
labeled-data,f042814_Video,img0091.png,445.25694667674566,179.45886121834585,434.88037078091975,178.6583362472114,440.9467827724425,191.45494663472726,399.7691813664577,192.44438750334632,401.2217020006356,181.8211709708978,400.29102094337594,203.0321407653048,356.957122745393,188.20466381501214
labeled-data,f042814_Video,img0098.png,435.32269077376816,192.9632403364559,423.90205752905445,185.76928914898778,425.4635983030199,202.08066146668392,393.1421769377149,193.8850406400295,395.35828469566206,182.9439530080204,393.106013771291,204.44890274289904,351.71747323882096,188.20466381501214
labeled-data,f042814_Video,img0105.png,438.42714574344865,188.61700337890323,431.512024669552,183.77323219410317,431.8390272021939,196.31241627219316,391.9896544283684,196.19008565872264,392.86321350205634,183.94198148546272,392.4988300666078,203.74052175410196,349.34715560489553,186.70762109884868
labeled-data,f042814_Video,img0106.png,439.97937322828886,186.28866215164288,430.3892426324294,182.02668235857914,432.9521973274465,193.07410318054923,394.2946994470615,192.44438750334632,395.9820524940635,182.56969232897956,393.0048164871772,203.5381271858742,,
labeled-data,f042814_Video,img0107.png,436.0988045161883,190.4796763607115,424.4010717677756,182.02668235857914,426.3743738600448,197.83037553390125,397.46413634776457,191.57999562133637,395.60779181502267,183.0687065677007,397.15390513584595,202.02016792416612,,
labeled-data,f042814_Video,img0114.png,,,,,,,394.2946994470615,214.9185764356043,378.70542055082944,213.3786590386713,404.54130687615867,215.9853931318806,,
labeled-data,f042814_Video,img0127.png,280.4942372052112,382.91653200075984,275.86074176787554,388.6081644810276,286.4051009979329,389.98920946917497,281.35189535403384,413.6409730371915,271.7296551985046,414.75588303503446,293.1338937496845,412.98043400403077,,
