Frame,Nose_x,Nose_y,Nose_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Body_Center_x,Body_Center_y,Body_Center_likelihood,Left_Body_x,Left_Body_y,Left_Body_likelihood,Right_Body_x,Right_Body_y,Right_Body_likelihood,Tail_Base_x,Tail_Base_y,Tail_Base_likelihood,Head_Center_x,Head_Center_y
0,116.65,150.82,0.24,119.67,164.52,0.26,114.89,164.28,0.32,114.44,155.42,0.1,117.31,154.57,0.06,123.3,163.74,0.06,118.48,144.73,0.23,117.07,159.87
1,116.6,150.96,0.24,117.32,160.64,0.27,114.83,164.24,0.33,114.37,155.74,0.11,117.24,154.87,0.07,123.34,163.88,0.07,118.36,144.75,0.23,116.25,158.61
2,116.52,150.71,0.24,119.64,164.72,0.27,115.06,164.41,0.33,114.58,155.55,0.12,117.59,154.83,0.08,123.51,163.95,0.07,118.53,144.79,0.23,117.07,159.95
3,116.51,150.3,0.24,119.61,164.9,0.26,115.25,164.6,0.31,114.7,155.53,0.12,117.55,154.81,0.08,123.71,164.07,0.07,118.53,144.73,0.23,117.12,159.93
4,116.41,149.66,0.24,119.56,164.79,0.24,122.21,156.37,0.3,114.62,155.79,0.11,117.16,154.87,0.08,123.95,164.02,0.07,118.6,144.62,0.22,119.39,156.94
5,116.42,149.55,0.24,119.56,164.74,0.23,122.27,156.24,0.31,114.56,155.81,0.11,117.1,154.83,0.08,124.0,164.06,0.06,118.63,144.59,0.22,119.42,156.84
6,116.39,149.54,0.25,119.53,164.74,0.24,122.3,156.18,0.31,114.61,155.86,0.11,117.1,154.91,0.08,124.03,164.07,0.07,118.62,144.61,0.22,119.41,156.82
7,116.37,149.54,0.25,119.56,164.77,0.24,122.29,156.13,0.31,114.68,155.84,0.11,117.15,154.91,0.08,124.03,164.05,0.07,118.64,144.6,0.22,119.41,156.81
8,116.41,149.52,0.24,119.58,164.73,0.23,122.28,156.11,0.31,114.62,155.79,0.11,117.12,154.83,0.08,124.03,164.0,0.07,118.69,144.61,0.22,119.42,156.78
9,116.42,149.64,0.24,119.61,164.66,0.24,122.29,156.13,0.31,114.58,155.73,0.11,117.09,154.76,0.07,124.01,164.02,0.06,118.67,144.63,0.22,119.44,156.81
10,116.41,149.68,0.24,119.63,164.65,0.24,122.24,156.18,0.3,114.58,155.71,0.11,117.16,154.78,0.07,123.93,163.95,0.06,118.66,144.61,0.22,119.43,156.84
11,116.41,149.7,0.24,119.64,164.74,0.24,122.16,156.34,0.3,114.57,155.68,0.11,117.29,154.78,0.08,123.92,163.89,0.06,118.66,144.59,0.22,119.4,156.93
12,116.38,149.67,0.24,119.63,164.81,0.25,122.12,156.4,0.3,114.58,155.72,0.11,117.33,154.83,0.08,123.9,163.84,0.06,118.63,144.57,0.22,119.38,156.96
13,116.4,149.84,0.24,119.65,164.77,0.25,122.11,156.52,0.3,114.61,155.67,0.11,117.41,154.77,0.07,123.94,163.87,0.06,118.6,144.62,0.22,119.39,157.04
14,116.41,149.93,0.24,119.65,164.78,0.25,122.14,156.54,0.3,114.64,155.59,0.11,117.42,154.69,0.07,124.02,163.95,0.06,118.59,144.66,0.22,119.4,157.08
15,116.42,149.85,0.24,119.67,164.79,0.24,122.16,156.44,0.3,114.66,155.58,0.1,117.38,154.66,0.07,124.11,163.98,0.06,118.62,144.68,0.22,119.42,157.03
16,116.41,149.83,0.24,119.68,164.8,0.24,122.17,156.41,0.3,114.68,155.59,0.1,117.4,154.67,0.07,124.16,164.01,0.06,118.62,144.69,0.22,119.42,157.01
17,116.41,149.79,0.24,119.69,164.77,0.24,122.18,156.34,0.3,114.64,155.59,0.1,117.36,154.67,0.07,124.12,163.97,0.06,118.66,144.66,0.22,119.43,156.97
18,116.4,149.67,0.24,119.71,164.77,0.24,122.19,156.21,0.3,114.66,155.62,0.11,117.32,154.68,0.07,124.13,163.93,0.06,118.69,144.63,0.22,119.43,156.88
19,116.42,149.56,0.23,119.75,164.78,0.23,122.23,156.06,0.3,114.66,155.59,0.1,117.27,154.65,0.07,124.15,163.91,0.06,118.74,144.62,0.21,119.47,156.8
20,116.4,149.5,0.24,119.73,164.75,0.23,122.28,155.96,0.3,114.68,155.65,0.11,117.21,154.7,0.07,124.13,163.91,0.06,118.73,144.6,0.21,119.47,156.73
21,116.4,149.57,0.24,119.75,164.74,0.23,122.25,156.05,0.3,114.66,155.61,0.1,117.23,154.67,0.07,124.06,163.88,0.06,118.72,144.59,0.22,119.47,156.78
22,116.39,149.66,0.24,119.71,164.81,0.23,122.16,156.28,0.3,114.64,155.6,0.11,117.31,154.68,0.07,123.95,163.76,0.06,118.71,144.57,0.22,119.42,156.91
23,116.4,149.92,0.23,119.76,164.97,0.24,115.13,164.68,0.3,114.68,155.45,0.11,117.62,154.6,0.08,123.77,163.61,0.06,118.69,144.56,0.23,117.1,159.86
24,116.3,150.06,0.24,119.7,165.08,0.26,115.07,164.74,0.31,114.78,155.45,0.12,117.79,154.69,0.08,123.65,163.51,0.06,118.59,144.57,0.24,117.02,159.96
25,116.16,149.68,0.25,119.54,165.26,0.26,121.76,156.82,0.31,114.78,155.64,0.12,117.77,154.68,0.08,123.9,163.59,0.06,118.53,144.58,0.24,119.15,157.25
26,116.11,149.22,0.25,119.47,165.45,0.25,121.6,156.69,0.3,114.83,155.8,0.11,117.77,154.68,0.08,124.08,163.82,0.06,118.5,144.69,0.24,119.06,157.12
27,116.01,149.5,0.24,119.4,165.88,0.26,114.62,165.41,0.32,114.88,156.24,0.12,117.94,155.13,0.08,123.93,163.64,0.08,118.43,144.67,0.25,116.68,160.26
28,116.01,150.08,0.24,119.44,166.2,0.28,114.4,165.66,0.34,114.88,156.52,0.13,119.24,159.93,0.1,123.52,163.21,0.08,118.39,144.62,0.26,116.62,160.65
29,115.99,149.79,0.24,117.24,161.84,0.27,114.4,165.62,0.33,114.83,156.6,0.13,119.05,159.99,0.09,123.63,163.28,0.09,118.41,144.6,0.25,115.88,159.08
30,115.98,149.77,0.25,119.4,166.06,0.27,114.4,165.6,0.33,114.82,156.59,0.13,119.0,160.0,0.09,123.61,163.27,0.09,118.42,144.6,0.25,116.59,160.48
31,115.96,149.61,0.25,117.16,161.68,0.26,114.43,165.61,0.32,114.85,156.62,0.13,118.96,160.02,0.09,123.68,163.28,0.09,118.44,144.59,0.25,115.85,158.97
32,115.97,149.6,0.25,117.15,161.65,0.26,114.41,165.61,0.32,114.82,156.59,0.13,118.92,160.0,0.08,123.68,163.28,0.09,118.45,144.6,0.25,115.84,158.95
33,115.96,149.6,0.25,117.11,161.63,0.27,114.39,165.58,0.33,114.8,156.64,0.13,118.86,160.0,0.09,123.63,163.21,0.09,118.42,144.61,0.25,115.82,158.94
34,115.96,149.58,0.26,117.08,161.61,0.27,114.38,165.6,0.33,114.79,156.68,0.13,118.81,160.01,0.09,123.6,163.18,0.1,118.42,144.61,0.25,115.81,158.93
